title,link,publish_time,text,year
Kris Bernal returns to exercising for her mental health,https://lifestyle.inquirer.net/432348/kris-bernal-returns-to-exercising-for-her-mental-health/,"07:04 PM November 10, 2022","After some months of not physically sweating through some exercises, actress Kris Bernal has returned to the gym to keep herself more fit. Bernal showed some of her physical exercise regimen in a video she posted on Instagram today, November 8, showing off her doing some push ups, running, and lifting. “Just a few of the exercises I completed in 7 rounds with Coach @iamalvinescandor. You may have noticed that I don’t share as many photos or workout videos as I used to. While the amount of time I spend exercising has decreased, I still make an effort to fit it in once or twice a week,” she said in her post.   A post shared by Kris Bernal (@krisbernal)  More than improving her physical looks, Bernal says she wants to be more fit and healthy, her driving force to get back to the gym. “I might not be as lean and muscular as I once was, but now my main priority is staying healthy rather than worrying about how I should look,” she said. All that she’s after is for having a healthy wholistic approach to her being physical fit in all form possible. “My goal is as simple as just to be physically active because it can enhance mental health, assist in weight management, lower the risk of disease, strengthen bones and muscles, and enhance daily functioning,” she explained. EDV    CURRENT.DYNAMIC.INSIDER.",2022
"Mental health, volunteerism take center stage at ‘MAD Talks Padayon’ event",https://lifestyle.inquirer.net/429168/mental-health-volunteerism-take-center-stage-at-mad-talks-padayon-event/,"03:40 PM September 29, 2022","In its continuing mission to bring the Filipino youth together through volunteerism, as well as spread the gospel of servant leadership and the culture of bayanihan amid challenges, nonprofit organization I am M.A.D. (Making ADifference) is reviving its Ten Accomplished Youth Organizations (TAYO) Awards-recognized MAD Talks event. Dubbed as “MAD Talks presents: Sa Ngayon, Padayon. (Kwentuhan. Kantahan. Kabayanihan.)” and created in collaboration with digital creator and witty shirts brand Linya-Linya, this gathering on volunteerism happening on October 22 at the RCBC Plaza, Makati will highlight the spirit of resilience and positivity that comes from purpose. ‘Padayon’ is a term used in several Visayan languages (Cebuano, Hiligaynon, Waray, and more), which means to move on, carry on, or move forward. Regardless of how challenging the situation is, there will always be a reason to bounce back, move forward, keep going, and continue helping and making a difference.  Taking the center stage at MAD Talks Padayon event is mental health, just in time for the celebration of the World Mental Health Month in October. With the pandemic having a considerable impact on people’s mental health, I am M.A.D. hopes to raise awareness on this prevailing issue, especially among the Filipino youth and young adults. It will also open a discussion on the positive impact of volunteerism on mental health, especially how it can bring meaning and purpose to one’s life while improving self-esteem and well-being. “The pandemic has spurred an important conversation about the need to take care of ourselves so we can take care of others, too. At I am M.A.D., we hope to address mental health issues in an empathetic way, with a unifying voice, helping everyone feel hopeful by empowering them to take action and create lasting change through our MAD Talks Padayon event,” said Christian Marx Rivero, co-founder and chairman of I am M.A.D. Rivero, who is also a recognized United Nations Youth Leader and is one of the speakers, added that the theme “Sa Ngayon, Padayon” reminds everyone to push through their journey in life and continue believing that they can do something meaningful even in the face of uncertainty. Headlining the event to share their personal experiences and anecdotes are: H.E.L.P. Pilipinas founder Dra. Mildred Vitangcol; peace and development champion and counter-terrorism operator Capt. AJ Ramos Celestial of the Philippine Army; women empowerment advocate and I am M.A.D.’s chief of volunteer operations Ruth Butad; multi-awarded Global Youth Ambassador and ASEAN Youth Advocates Network founder Mirus Ponon; Outstanding Volunteer-recipient and I am M.A.D.’s co-founder and chief executive volunteer Maco Ravanzo; and mental health advocate Ymari Kristia Pascua whose story was featured on ABS-CBN’s Maalaala Mo Kaya program. Also expect a grand musical treat from Jose Rizal University’s Teatro Rizal that includes GMA’s The Clash alumnus and ABS-CBN’s Tawag ng Tanghalan contender Kyle Pasajol and a special performance from Tawag ng Tanghalan four-time defending champion Vanessa Celestial. Regarded as “Your Ultimate Hugot Event,” MAD Talks welcomes everyone, whether part of the volunteering community or not, including students, leaders, educators, and young professionals, as it promotes a safe space to share, support, and socialize. MAD Talks presents: Sa Ngayon, Padayon. is happening on Saturday, October 22, 2022, 12:30PM at the Carlos P. Romulo Auditorium of RCBC Plaza in Makati City. Get ready to be inspired with stories of struggles and survival (Kwentuhan), be entertained with soulful songs (Kantahan), and believe in the ‘MADgic’ of volunteerism (Kabayanihan). Reserve your seats at bit.ly/MADTalksPadayon. Ticket price is PHP 249.00 inclusive of a bottle of coffee, tote bag, and donation to I am M.A.D. programs. Student rate is available at PHP 149.00. MAD Talks Padayon is co-presented by the Rotary Club of Makati Uptown, Rotary District 3830, and H.E.L.P. Pilipinas, in cooperation with CID Communication, Creative Adobo, Itemhound, and JRU – Teatro Rizal. This event is likewise supported by the National Youth Commission – Youth Organization Registration Program (YORP), along with the following media partners: BusinessWorld, ClickTheCity.com, CSR Insights, DigitalFilipina.com, Inquirer Group of Companies (Philippine Daily Inquirer, Inquirer Super, Inquirer.net, Inquirer Mobile), Mellow947.fm, Metropoler.net, Mindanao Times, Now You Know PH, PageOne Media, SwirlingOverCoffee.com, The Manila Times, The New Channel, WhenInRizal.com, and WhenInManila.com as the primary blog partner. I am M.A.D. relies on the goodwill of people through fundraisers and the power of social media. Support the organization by donating through bit.ly/bidadonate. For updates, partnerships, and volunteer opportunities, send an email to [email protected]. Follow and message I am M.A.D. on Facebook, Instagram/Twitter/Tiktok (@iammad_ph), Youtube and podcast via anchor.fm/iammad or bit.ly/MADTalksSpotify. ADVT.  CURRENT.DYNAMIC.INSIDER.",2022
"Healthy Mind Solutions, the future of mental health, now in the Philippines",https://lifestyle.inquirer.net/413348/healthy-mind-solutions-the-future-of-mental-health-now-in-the-philippines/,"04:32 PM August 24, 2022","MANILA, Philippines – There has been an increased focus on mental health during the pandemic; however, many of those who feel anxious and depressed may not have the mental health solutions within their reach. The World Health Organization (WHO) estimates that over 6M Filipinos are suffering from depression and anxiety. WHO also estimates that mental health conditions in the Philippines is costing the country P68.9B, which includes loss of workforce and reduced productivity. The top three barriers for Filipinos seeking mental health support are the fear of social stigma attached to mental illness, the inaccessibility of services and financial constraints of availing the services. The Philippines ranks 3rd among countries with the highest rates of mental disorders in the Western Pacific Region. Mental illness is a much larger kind of pandemic that, if unaddressed, can severely affect millions of Filipinos. Furthermore, according to the July 4, 2022 Inquirer.net article, analytics firm, Gallup, in its “State of the Global Workplace: 2022 Report,” says that while workers everywhere said life at work is “not well,” those in the Philippines are among the most stressed out in the world. 68,000 workers in over 140 countries and half of 1,000 Filipinos 15 years and older were surveyed for the report and said “yes” when asked whether they experienced stress most of the day. At 50 percent, worker stress in the Philippines was the highest in Southeast Asia in 2021. While it was three points lower than 53 percent in 2020, it was still higher than the global average.”  Filipino culture has attached a social stigma on mental illnesses and consider it as a reflection on the person’s character, prompting most to suffer in silence and not seek help, even from their own families. Accessibility to mental health help is also limited and unaffordable to many. Canadian wellness company Healthy Mind Solutions (HMS) seeks to break this stigma by providing companies with mental health solutions and services that are effective, confidential, convenient, research-based and affordable. Their mental health platform MindWoRX is revolutionary, game-changing and is considered the future of mental health in the Philippines. Introducing HMS’ MindWorRx – An important tool for HR practitioners HMS is launching MindWoRx in the Philippines. It is a 100 percent web-based online mental health platform for companies looking to assist their employees overcome anxiety and depression and help them handle the day-to-day stress and pressures at work and at home. MindwoRx is an innovative and self-guided behavior therapy platform with over 150,000 users globally using the Cognitive Behavior Therapy (CBT) approach. The platform includes a Web-based Anxiety and Depression Assessment Test, online Mental Recovery & Resiliency Courses, and a Community Support Forum monitored by licensed therapists. It is backed by 15+ years of peer-reviewed clinical research supporting its efficacy and is compliant to the Health Insurance Portability and Accountability Act (HIPAAA), The Personal Information Protection and Electronic Documents Act (PIPEDA) of Canada and the Mental Health Act of the Philippines. “Human resources professionals are faced with ever-increasing mental health challenges from their workforce. HR practitioners are looking for a preventative and innovative solution that will not only help manage the mental health issues of their employees but also provide them with tools that will help them to become more mentally resilient. “HMS has the solution, “says Richard Caballero, HMS Founder and CEO. “One company that acknowledges the importance of mental fitness is Medicareplus, one of the leading HMOs in the country. They recently signed up a strategic partnership with HMS to offer MindWoRx to their plan holders.” Recovery and Resilience MindWoRx has anonymous, self-guided assessment and behaviour therapy courses to assist in mental recovery and strengthen the mental resilience of employees. It is confidential and available 24/7 with an annual license fee that provides them unlimited use for a full year at the same cost as a therapy session. The Mental Resiliency Courses deal with issues on Relationships, Resolving Disputes, Shyness and Sensitivity, Role Transitions, and Grief and Loss.
With its suite of research-based programs, employees with strong mental well-being can better adapt to life-changing events, cope with turbulent times, handle the work pressures and quickly bounce back from hardships and tragedies. Management will benefit from MindWoRx as it decreases incidences of mental health related sick days or family emergency reasons for absences. Employees are less likely to leave the company and therefore decrease HR turnover. 100+ years of collective experience of HMS founders Caballero and his HMS partners have a collective experience of 100+ years in developing global businesses within the Asia-Pacific and North American Regions. A successful techprenuer, Caballero has an extensive background in managing global technology companies and leading award-winning multinational teams in over 50 countries. His 25+ years of experience in various industries including sales, marketing, finance, product management and business development for global tech companies have contributed to the launching of HMS. “Healthy Mind Solutions is a forward-thinking company and the only one in the market that addresses the issues of mental health through a unique self-managed platform that is scalable, effective and customized to the needs of Filipinos. Our products and services are also designed to make it affordable to the average Filipino, and part of our advocacy is to donate licenses to those who can’t afford them,” Caballero explains. “Our mission is to make HMS accessible to as many Filipino workers as possible. When employees are mentally fit, they are happier and more productive both at their workplace and at home,” he says in ending. To know more about Healthy Mind Solutions, visit www.healthymindsolutions.net *Source  ADVT  CURRENT.DYNAMIC.INSIDER.",2022
Kim Atienza supports daughter’s mental health journey,https://lifestyle.inquirer.net/411250/kim-atienza-supports-daughters-mental-health-journey/,"07:43 PM July 26, 2022","Like any dutiful father would, weather man Kim Atienza expressed his support for his daughter’s mental health journey by showing what she has shared about the subject, including her own personal experiences. Atienza shared his youngest daughter Emmanuelle’s drawing and diary excerpt about weight loss through his Instagram page last Sunday, July 24 “I posted a video on my tiktok showing my ‘weight loss journey’ thinking nothing of it until people started asking me ‘how did you lose weight?'” Emmanuelle said in her diary. Atienza’s daughter admitted that “after properly dieting and losing an increasingly high amount of weight,” she became “obsessive” over her calories. “I would sometimes eat much less than a healthy body needs to survive. It became so obsessive that others became concerned about my own health and my daily functioning was at stake,” she said. Emmanuelle revealed that she was refused professional help because she was not “clinically underweight” at the time. “This is yet another way the stereotypes associated with mental health can truly affect people. I was struggling with my body, caloric intake, and more. Yet, because I wasn’t underweight i couldn’t get help. this caused my mentality to deteriorate further,” she pointed out.    A post shared by Kuya Kim (@kuyakim_atienza)  She stressed that since anorexia nervosa is defined as “an emotional disorder characterized by an obsessive desire to lose weight by refusing to eat,” it does not “specify “underweight.” “Yet I was only given professional help once I was clinically underweight,” she revealed. With that, she urged netizens to “lose weight healthily,” to research well before starting on a diet, and to remember one’s limits. “If you are already struggling, I encourage you to seek help even if you aren’t underweight. Remember that anorexia or any eating disorder isn’t defined by your weight, it’s your mental state and daily habits in which symptoms are present,” she explained. For her, the numbers on the weighing scale do not measure one’s self worth. She affirmed her beauty both before and after her weight loss. JB RELATED STORIES: Kim Atienza misses daughter’s graduation after testing positive for COVID-19 Kim Atienza’s daughter flaunts bikini body in response to critics of her ‘revealing photos’   CURRENT.DYNAMIC.INSIDER.",2022
Mental health and art meet at this Filipina-led exhibit in UC Davis,https://lifestyle.inquirer.net/404790/mental-health-and-art-meet-at-this-filipina-led-exhibit-in-uc-davis/,"01:35 PM June 17, 2022","To the unconventional thinkers and feelers. To those lost but found in art’s embrace. The intersection of art and mental health is nothing unfamiliar to us. People view painting as a stress reliever and writing as an instrument to convey one’s thoughts. Art contributes to our mental health, and vice versa. For many, including myself, creative expression is a security blanket. But not knowing how or failing to understand the gravity of their relationship, is sort of like not knowing how your best friend likes their coffee, coffee that gets them through their hectic days. As Harper Lee put it, how else would we grasp all of this if not through climbing into someone else’s skin and walking around in it? Two friends who share a similar spirit and drive to promote diverse personal artistry have come together to do just that. Macy Lee and Jiji Patricio, University of California (UC), Davis students, are holding their first multisensory art exhibit until today, June 4, at their university. Patricio, 21, is a visual artist, disc jockey, programming director for KDVS 90.3 FM, and scholar-activist who’s pursuing BA degrees in Anthropology and Asian American Studies. Lee, 20, is a speaker, writer and photographer for mental health, social justice and education. She started the Philippine-based mental health nonprofit Talang Dalisay along with My State of Mind, its global branch, which is active in different parts of the world. She is studying Psychology and International Relations. As they navigate through their own ruminations about identity and meaning, their wish is to empathize with their audiences through art they have curated from a mix of students and award-winning artists. The exhibit, called “Worlds Through Minds,” does not fall short on enlightening us with wisdom by viewing lives through another’s lens. Being an online and in-person exhibit with various forms of art from across the globe, the topic of mental health is distinctively tackled by artists’ art, photography and poetry. Representing the Philippines are artists Felezedad Caridad, Wipo Wipo, Colin Dancel, Mariano Batocabe, Natasha Mañosa-Tanjutco, Aia Solis, Pau Villanueva and Gab Mejia. Cofounders and cocurators Lee and Patricio gave us a glimpse on how it all came to be. Walk us through your thought process in deciding to curate these pieces and in linking the advocacy of mental health to your exhibit. Lee: Many people, experiences and artists inspired me to push through with this exhibit. But one person really ignited the spark in me and one day after seeing them, I just started shooting out so many ideas and contacted people I’ve admired for the longest time to ask them to work with me. I started this idea and slowly asked people about it in January, until my friend and cocurator Jiji reached out to me with a surprisingly similar idea. It was fate and truly meant to be. I reached out to artists from home in Manila, to my home here in California, and other people from around the world whose art spoke to me deeply. I think that the artists I invited come from such unique and diverse backgrounds that reflect their own personal, genuine stories which is the only thing that really mattered to me. What cathartic emotions can the viewers expect to feel as they walk through the exhibit, virtually or in-person? Patricio: I think viewers should expect to feel generally overwhelmed while walking through our exhibit. These art pieces evoke a range of emotions, from discomfort, to sadness, to joy, to confusion, to everything and anything else you can possibly think of. Art is powerful in this way, and I think because we have so many dynamic artists in the space (over 20), people are bound to experience a wave of emotions as they look and walk through the Basement Gallery. My hope is that viewers will critically engage with these feelings as they arise and pass and ultimately examine the deeper realities that such emotions speak to. This exhibit must mean a lot to you both. How do you feel about your brainchild? Lee: I really just want to share and highlight the power and importance of language through art. This is a universal, open medium people oftentimes overlook and take for granted. However, this exhibit is a reminder that this should be celebrated, as it binds people together and connects the inner and outer lives of people from all over the world. We live in a beautiful, loving universe amid all its bigotry, and it’s pertinent to remind ourselves and each other of that truth! Patricio: I am super grateful that I got the opportunity to cocurate a project like “Worlds Through Minds” while at UC Davis. As a nonart student here who loves art, it was always hard for me to balance my creative interests with my workload due to limited time and capacity. But this small idea eventually became a passion project that is finally coming to fruition—right before I graduate, too—and I couldn’t be happier! —CONTRIBUTED INQ Follow @worldsthroughminds on Instagram; visit worldsthroughminds.com.  CURRENT.DYNAMIC.INSIDER.",2022
"Bubbles Paraiso finds talking to friends, trust helpful in mental health issues",https://lifestyle.inquirer.net/402995/bubbles-paraiso-finds-talking-to-friends-trust-helpful-in-mental-health-issues/,"08:32 PM May 12, 2022","Triathlete and actress Bubbles Paraiso spoke up about her recent journey to mental health and how she was able to overcome mental health issues. Paraiso admitted that she went through a rough patch recently as can be seen in her Instagram page yesterday, May 11, where she shared a short video of herself.   Isang post na ibinahagi ni Bubbles Paraiso (@bubblesparaiso)  “I had not been myself a couple of weeks back due to some triggers that affected my mental health. It was when I was reminded of my strength that I began to choose to take myself out of the dark place I was in mentally,” she admitted. Some close friends were able to sense that something is not going right in her and they came to her rescue. “I was keeping it to myself and when the people close to me sensed that something was amiss, they reached out. And boy, am I glad they did. Talking about it to people you can trust helps tons,” she said. Paraiso thinks it is best to tell someone about your predicament because it eases the pain one is feeling. “If you’re struggling, make sure to talk to your loved ones about it. I realized the importance of saying your issues out loud and talking about it to be healing and freeing,” she explained. Paraiso is more than glad to hear a close friend tell her that she is the “strongest person he knows” and that she has “always been a fighter.” She added, “I’m glad I proved him right.” JB RELATED STORIES: Bubbles Paraiso is back to running, her formerly ‘least favorite’ triathlon sport Kit Harington reveals working for ‘Game of Thrones’ took its toll on his mental health   CURRENT.DYNAMIC.INSIDER.",2022
What we did to make mental health care more accessible for students,https://lifestyle.inquirer.net/400470/what-we-did-to-make-mental-health-care-more-accessible-for-students/,"08:10 PM April 11, 2022","Trigger warning: This article discusses topics surrounding depression, suicide and other mental health illnesses. Recent data from the National Statistics Office showed that mental illnesses are ranked as the third most common form of morbidity among Filipinos. In 2021, the Department of Health estimated that at least 3.6 million Filipinos faced mental health issues in light of the COVID-19 pandemic. Children and adolescents are among the most vulnerable of them all. The World Health Organization estimates that 10 to 15 percent of Filipinos aged 5 to 15 years old are affected by mental health problems, and 16 percent of Filipino students age 13 to 17 years old has attempted suicide at least once within the span of a year. With this in mind, what can we do in order to become better advocates of mental health, particularly in our educational institutions? Cultivating a society that is open to discussions about mental health is already a step in the right direction. But we must also kick it up a notch, especially because there is still a significant number of people who see mental health, especially mental illnesses, as a taboo topic. In the Philippines, discrimination against people with mental illnesses is quite common. This stigma highlighted the fact that many Filipinos lack proper information and education regarding mental health issues and mental health literacy. School is our second home and I believe that it is important that we integrate mental health care and awareness into our educational system. I’ve been a student leader for my university’s student council for almost four years now and in early 2021, in light of the burnout, stress and other struggles because of the new online learning set-up, I thought, “What can we do to in order to make mental health care more accessible to our school community?” With that came the idea of establishing a university-wide mental health coalition. The goal of the project was to require each of the college student councils in our university to have a mental health committee, which would later on be a part of the centralized mental health coalition. As a collective whole, the members of the coalition would then undergo a series of trainings, in order for them to gain more knowledge and information on the different topics surrounding mental health awareness, which they can later on apply when they begin conducting initiatives and projects for their respective colleges, in collaboration with their guidance counselors. The project also aims to conduct a monthly/bimonthly wellness survey (formulated with the help of guidance counselors and other mental health professionals) which would help the university administrators to have an overview of the mental wellness status of the students in the university. Depending on the results of the survey, the administrators may impose academic breaks (even during in-person setup), adjust the schedule of examinations or call upon the professors to lighten the workload of the students. With the help of my costudent leaders under the advocacies committee, Enrick Orajay (first year, BS Psychology) and my coproject head Sabrina Periabras (third year, BS Psychology), this project finally came to life. “Katuwang: The Thomasian Mental Health Coalition” had its first training session/webinar in March via Zoom and Facebook Live. We aim for this project to continue, in order to cultivate a more mental health-friendly environment for our student body, professors, administrators, nonteaching and religious personnel. Let me share with you my notes (bit.ly/KatuwangNotes), in case you want to adapt them and implement a version of them in your own school. You may substitute the proponents of the project—for example, if you don’t have a student council per college, you may choose your class officers instead. The Mental Health Act, also known as Republic Act 11036, was officially signed into a law in June 2018. One of the provisions of the law states that “Educational institutions . . . shall develop policies and programs for students, educators and other employees designed to raise awareness on mental health issues, identify and provide support and services for individuals at risk, and facility access, including referral mechanisms of individual with metal health conditions to treatment and psychosocial support.” While a lot of schools already have programs that cater to the mental health of their community such as free counseling sessions and other psychological services, having an established policy will aid in making these programs permanent, as well as establish a set of standard operating procedures. In the study titled “A Genre Analysis of School Mental Health Policy Documents,” Dr. Sterling Plata of De La Salle University analyzed various school mental health policies from different educational institutions in the United Kingdom. Based on the policy documents that were analyzed, the following are considered as mandatory contents: 1. Policy statement: Includes the school’s vision in relation to mental health and well-being. 2. Policy aims: Reiterates the goals related to the promotion of mental health awareness, as well as identification and prevention of mental health illnesses. 3. Key staff members: Includes the names of the people who will be in charge of upholding the policy and their responsibilities in regards to the mental health of the academic community. 4. Signposting: Refers to the means of communication of the educational institution with the students and parents about the said policy. 5. Warning signs: Includes a detailed description that will serve as a guide for teachers, staff members and parents, in recognizing potential mental health problems. 6. Managing disclosures: Refers to handling disclosure and confidentiality. 7. Confidentiality: Provides details about what particular confidential information can be shared, to whom, why it must be shared and how. This clause also addresses concerns about respecting a students’ decision to not inform their parents about their respective mental health problems. 8. Working with parents: Includes guidelines on how to respond to parents who disclose/report the mental health problems of their children. 9. Support peers: States how friends of students who are suffering from mental health problems can provide support for their peers. This clause also includes how much information can be shared with the students. 10. Training: How and when students, teachers and personnel will be trained on topics about mental health awareness. 11. Policy review: May include the dates and process of when the policy must be reviewed and updated. 12. Appendices: Some of the analyzed policies in the study provided a description of different mental illnesses, its symptoms and where to seek additional information and support. With all of the hardships that that we faced during the pandemic, and the readjustment that we would have to undergo after it’s finally over, we are in need of initiatives that cater to the cultivation of a healthier and improved mental health environment in our educational institution. We have been advocating for mental health awareness in schools for so long, and I believe that it’s time for us to take it one step further. Aside from the webinars and social media movements, we must establish projects, initiatives and policies that are more sustainable for years to come. Mental health is a vital part of the development of each person, whether they be a teacher, a staff or a student, and must always be given priority and treated with utmost importance, especially in the place that we refer to as our “second home.” —CONTRIBUTED INQ The author is a Bachelor of Arts in Behavioral Science student at University of Santo Tomas.  CURRENT.DYNAMIC.INSIDER.",2022
Gretchen Fullido to those with mental health issues: ‘Ask for help when you need it’,https://lifestyle.inquirer.net/399147/gretchen-fullido-stresses-mental-health-deserves-same-care-as-physical-health/,"08:59 PM March 22, 2022","For Star Patroller and entertainment anchor Gretchen Fullido, prioritizing one’s mental health is of paramount importance. Fullido talked about mental health in her Instagram page today, March 22, where she shared a photo while inside what appears to be a condo or hotel room. “Prioritize your mental health,” she said. “Your mental health deserves the same care and attention as your physical health. Tending to your mental health is all about recognizing your unique needs and developing practices and habits to honor them. This can feel challenging and even selfish at first, especially if you’re not used to getting your needs met.” She explains that looking after one’s mental health is “the antidote to stress, anxiety, depression, and burnout so it’s worth the practice and dedication.”   Isang post na ibinahagi ni Gretchen Fullido (@gretsfullido)  Fullido also feels it is just right to “ask for help when you need it.” “When life gets difficult, it’s a common tendency to retreat, which can lead to isolation. We aren’t meant to travel through hard times alone,” she stressed. “It’s important to reach out for support from trusted loved ones and mental health practitioners.” Aside from campaigning for mental health, Fullido is also known as an animal rights advocate, an environmentalist, a fitness buff and a certified plantita. JB RELATED STORIES: Gretchen Fullido recalls COVID-19 experience, urges vaccination: ‘Vaccines really save lives’ Gretchen Fullido gives tips on easy-to-maintain houseplants  CURRENT.DYNAMIC.INSIDER.",2022
Gretchen Fullido shares 5 steps for taking care of your mental health,https://lifestyle.inquirer.net/395671/gretchen-fullido-shares-5-steps-for-taking-care-of-your-mental-health/,"07:55 PM January 24, 2022","For Star Patroller and entertainment anchor Gretchen Fullido, it is very important to look after one’s mental health. She thus spoke about ways to boost one’s mental capacity and shared it with fans. First, she suggested a change of scenery or environment. “A change of scene or a change of pace is good for your mental health. It could be a five-minute pause from work or from cleaning your house, a half-hour lunch break at work or a weekend exploring somewhere new,” she said in her Instagram page yesterday, Jan. 23, where she can be seen on a beach with her dog. Second, she advised for people to have “me time” which is time alone with one’s self, because “a few minutes can be enough to de-stress you.” Third, she believes in taking a break through exercise and making one’s self fit. “Taking a break may mean being very active — in sports, walking, running, swimming or just about doing any workout or it may also mean not doing very much at all,” she said.   Isang post na ibinahagi ni Gretchen Fullido (@gretsfullido)  Fourth, relaxing is also a form of improving one’s mental health. The broadcaster advised, “Take a deep breath… and relax. Try yoga or meditation, or just putting your feet up — you can do this wherever you are.” Lastly, Fullido suggests to “listen to your body” and have enough time to sleep. “If you’re really tired, give yourself time to sleep. Without good sleep, our mental health suffers too and our concentration goes downhill,” she said. “You deserve to REST. Sometimes the world can wait.” JB RELATED STORIES: Gretchen Fullido recalls COVID-19 experience, urges vaccination: ‘Vaccines really save lives’ LOOK: Angel Locsin inspires with weight loss progress   CURRENT.DYNAMIC.INSIDER.",2022
Don’t forget to do a mental health check,https://lifestyle.inquirer.net/395594/dont-forget-to-do-a-mental-health-check/,"01:42 PM January 22, 2022","“Take a chance! All life is a chance. The man who goes farthest is generally the one who is willing to do and dare.”—Dale Carnegie Tag! You’re it! Hide! You’re sick! Just like the game hide-and-seek, dodging this Omicron virus could be pretty tricky. You never know when the evil germ monster will zap you. Keeping safe as much as I could, I have been following all the safety protocols, from wearing masks, social distancing and staying within my “bubble,” to endless hand sanitizing until my nails turn brittle. After testing negative on the fifth day of an exposure, I thought I was safe. I was exposed to a driver who tested positive but was asymptomatic. Luckily, we were all wearing masks in the car. A strong believer in face mask protection, I believe I stayed negative thanks to that. Thank goodness I was able to get my Moderna booster shot at Aegle Wellness Center in City Club, Makati City (check @aeglewellnessph for other wellness treatments). Along with my soulmate sister Vina Francisco, I brought my sister-in-law Tina Valdes to get her first vaccine shot. I was confident that we had another layer of protection somehow. Feeling feverish last Monday, I decided to test again with the X-Aria home kit. Lab2Test is a home-use kit that is affordable, accurate, accessible and backed by the most advanced digital medical platforms. It is a qualitative antigen rapid immuno-assay and visual read test done through nasal swab, and is just an easy three-step process: swab, drop, wait. Check out lab2test.com. Within 15 minutes, I knew the unwanted outcome! The dreaded two-line result meant I had the virus and had to instantly isolate and quarantine in my room for the next 10 days. Luckily, I was already isolating so my daughter, Athena Valdes, and all at home were far from me. Thankfully, they tested negative. There was a period of panic after testing positive—not just for my own health, but for the health of others I may have been around recently. I alerted all who came in close contact with me prior to my fever (at least two days prior to symptom onset or testing positive). Close contact is defined as being within 6 feet of someone for a combined total of 15 minutes or more over a 24-hour period while contagious. Bottom-line: It’s incredibly important to let people know that they have been exposed. So within a few days, I have become an expert in home recovery and self-discovery while in isolation due to COVID. For starters, it’s best to eat and sleep in your own space, away from others, as well as use your own bathroom. If you do need to be in a shared living space, wear a mask; avoid contact with others, including pets; and do not share items, such as towels, blankets and cups. To supplement the medicines your doctor prescribes, I recommend Usana Poly C Vitamins and other Usana essentials to keep your immune system strong. Keep hydrating with water and take Hydrite, oral rehydration salts, twice a day. My Red Charity Gala partner Kaye Tinga made sure her daughter ate, even with no appetite, to recover faster. Aside from the basic steps like getting enough sleep, keeping hydrated and loading up on vitamins, my sister-in-law Ria Prieto told me she cleaned up her Instagram feed to make sure it’s inspiring and positive. She “unfollowed” those who post bad vibes to protect her mental health. For the most part of 2021, I was thrust into a world of the unknown. For months, I was emotionally distraught, enduring mood swings throughout a given day. Not only were my past and future uncertain, but I also doubted my present relationship. Like Ria, I need to do a mental health check! During this isolation, I used most of my time to dive into self-help books that were recommended by Xandra Ramos of National Book Store. When people fall out of touch, it is quite common that we outgrow them. If there is no forward progress, the mindset needs to declare and make a choice. Journaling is another activity to keep us busy while in home quarantine. It helps with finding that new direction and choice. This pandemic has made me miss out on a lot of events. One of them was the recently concluded affair Fundacion Sanso X Septième Rebelle, a fashion and art exhibit. Fine art has, unsurprisingly, inspired the creation not only of museum-worthy couture, but also wearable yet stylish and impeccably constructed designer pieces. Such is the case with Manila-based couture label Septième Rebelle whose collection, “Awakening,” is inspired by the work of no less than distinguished Spanish-born painter Juvenal Sansó. Unbeknown to many, Sansó dabbled in fashion as a textile designer while he was a student at the École Nationale des Beaux-Arts in Paris in the 1960s, as a means of supporting himself when the Central Bank had set caps on the financial support that could be sent by his father from Manila. Sansó’s hand-painted textile designs depicted florals and foliage, as well as geometric shapes and abstract patterns. The House of Balenciaga was his biggest client. Robbe Santos, owner and creative force behind Septième Rebelle, is no stranger to Sansó’s work as a patron of the arts himself. But Sansó’s story of working as a young textile designer in Paris may have added another dimension to Santos’ appreciation of the renowned painter, prompting a vision beyond his—that of an art connoisseur. Santos draws a connection between his experience as a fashion designer inspired by fine art, and Sansó’s experience dabbling in fashion many years ago. Santos chose to name his collection “Awakening” as a nod—or rather, a curtsy—to the revival of fashion after World War II, which was the time a young Sansó made contributions to fashion as a designer for fabric houses and ateliers overseas; and to the hopeful resurgence of high fashion after limitations set by debilitating lockdowns. More than a showcase of wearable art, the collection is also part of fundraising efforts in partnership with Fundacion Sansó. Wishing you all safer days ahead!  CURRENT.DYNAMIC.INSIDER.",2022
